kba |t0| |t1| |t2| |t3| |t4|
1.586695e+00 2.832341e-02 9.885909e-01 6.641906e-01 1.852933e-01 2.262825e-02
1.593777e+00 2.114534e-02 9.875498e-01 6.680888e-01 1.877966e-01 2.315750e-02
1.600858e+00 1.396654e-02 9.864633e-01 6.719755e-01 1.903164e-01 2.369588e-02
1.607940e+00 6.787377e-03 9.853314e-01 6.758507e-01 1.928526e-01 2.424346e-02
1.615021e+00 3.917803e-04 9.841542e-01 6.797140e-01 1.954053e-01 2.480033e-02
1.622103e+00 7.570562e-03 9.829318e-01 6.835651e-01 1.979744e-01 2.536659e-02
1.629185e+00 1.474860e-02 9.816640e-01 6.874039e-01 2.005596e-01 2.594232e-02
1.636266e+00 2.192552e-02 9.803510e-01 6.912301e-01 2.031610e-01 2.652760e-02
1.643348e+00 2.910096e-02 9.789928e-01 6.950434e-01 2.057784e-01 2.712253e-02
1.650429e+00 3.627455e-02 9.775895e-01 6.988435e-01 2.084117e-01 2.772719e-02
1.657511e+00 4.344593e-02 9.761410e-01 7.026303e-01 2.110609e-01 2.834166e-02
1.664592e+00 5.061471e-02 9.746474e-01 7.064035e-01 2.137259e-01 2.896603e-02
1.671674e+00 5.778054e-02 9.731088e-01 7.101628e-01 2.164065e-01 2.960038e-02
1.678755e+00 6.494305e-02 9.715253e-01 7.139081e-01 2.191027e-01 3.024480e-02
1.685837e+00 7.210187e-02 9.698967e-01 7.176389e-01 2.218143e-01 3.089937e-02
1.692918e+00 7.925663e-02 9.682233e-01 7.213551e-01 2.245412e-01 3.156418e-02
1.700000e+00 8.640697e-02 9.665051e-01 7.250565e-01 2.272834e-01 3.223930e-02
1.707082e+00 9.355251e-02 9.647420e-01 7.287428e-01 2.300408e-01 3.292482e-02
1.714163e+00 1.006929e-01 9.629343e-01 7.324138e-01 2.328131e-01 3.362082e-02
1.721245e+00 1.078278e-01 9.610819e-01 7.360692e-01 2.356004e-01 3.432739e-02
1.728326e+00 1.149568e-01 9.591848e-01 7.397087e-01 2.384025e-01 3.504459e-02
1.735408e+00 1.220795e-01 9.572433e-01 7.433322e-01 2.412192e-01 3.577252e-02
1.742489e+00 1.291956e-01 9.552573e-01 7.469394e-01 2.440506e-01 3.651124e-02
