w_norm abs_rho re_rho im_rho abs_S re_S im_S phase_rho_pi phase_S_pi 
0.702152 2.179352e+00 2.177825e+00 8.156225e-02 1.219577e+00 1.218295e+00 5.589239e-02 0.011916 0.014593
0.703153 2.182601e+00 2.181055e+00 8.213037e-02 1.221805e+00 1.220508e+00 5.628171e-02 0.011981 0.014668
0.704154 2.185872e+00 2.184307e+00 8.270419e-02 1.224049e+00 1.222737e+00 5.667493e-02 0.012046 0.014743
0.705155 2.189166e+00 2.187581e+00 8.328378e-02 1.226309e+00 1.224980e+00 5.707210e-02 0.012113 0.014819
0.706156 2.192482e+00 2.190878e+00 8.386921e-02 1.228585e+00 1.227240e+00 5.747328e-02 0.012179 0.014896
0.707157 2.195822e+00 2.194197e+00 8.446056e-02 1.230876e+00 1.229515e+00 5.787852e-02 0.012247 0.014973
0.708158 2.199186e+00 2.197540e+00 8.505793e-02 1.233184e+00 1.231805e+00 5.828788e-02 0.012314 0.015051
0.709159 2.202573e+00 2.200907e+00 8.566138e-02 1.235508e+00 1.234112e+00 5.870141e-02 0.012383 0.015129
0.710160 2.205984e+00 2.204296e+00 8.627100e-02 1.237848e+00 1.236435e+00 5.911917e-02 0.012452 0.015208
0.711161 2.209419e+00 2.207710e+00 8.688688e-02 1.240205e+00 1.238775e+00 5.954122e-02 0.012521 0.015288
0.712162 2.212879e+00 2.211148e+00 8.750911e-02 1.242578e+00 1.241130e+00 5.996761e-02 0.012591 0.015368
0.713163 2.216363e+00 2.214610e+00 8.813776e-02 1.244969e+00 1.243503e+00 6.039841e-02 0.012662 0.015449
0.714164 2.219872e+00 2.218096e+00 8.877294e-02 1.247376e+00 1.245892e+00 6.083368e-02 0.012733 0.015530
0.715165 2.223406e+00 2.221608e+00 8.941472e-02 1.249801e+00 1.248298e+00 6.127347e-02 0.012804 0.015612
0.716166 2.226966e+00 2.225144e+00 9.006321e-02 1.252243e+00 1.250721e+00 6.171787e-02 0.012877 0.015695
